Documet1,Document2,K,ShinglesJaccard,AproxSim
"1-Don-Quijote","1-Mare-Balena",2,0.138889,0.178584
"1-Don-Quijote","1-Pride-Perjudice",2,0.245342,0.503797
"1-Don-Quijote","10-Don-Quijote",2,0.183453,0.18456
"1-Don-Quijote","10-Mare-Balena",2,0.119403,0.0643402
"1-Don-Quijote","10-Pride-Perjudice",2,0.136564,0.258187
"1-Don-Quijote","11-Don-Quijote",2,0.0769231,0.095473
"1-Don-Quijote","11-Mare-Balena",2,0.293515,0.492732
"1-Don-Quijote","11-Pride-Perjudice",2,0.00803213,0.010661
"1-Don-Quijote","12-Don-Quijote",2,0.151515,0.146348
"1-Don-Quijote","12-Mare-Balena",2,0.0916667,0.127339
"1-Don-Quijote","12-Pride-Perjudice",2,0.119149,0.24485
"1-Don-Quijote","13-Don-Quijote",2,0.0714286,0.0563469
"1-Don-Quijote","13-Mare-Balena",2,0.0145985,0.034155
"1-Don-Quijote","13-Pride-Perjudice",2,0.161017,0.3094
"1-Don-Quijote","14-Don-Quijote",2,0.0486111,0.0343726
"1-Don-Quijote","14-Mare-Balena",2,0.15625,0.193384
"1-Don-Quijote","14-Pride-Perjudice",2,0.0505618,0.0742073
"1-Don-Quijote","15-Don-Quijote",2,0.0894309,0.0971126
"1-Don-Quijote","15-Mare-Balena",2,0.233871,0.374061
"1-Don-Quijote","15-Pride-Perjudice",2,0.425,0.826733
"1-Don-Quijote","16-Don-Quijote",2,0.101604,0.106426
"1-Don-Quijote","16-Mare-Balena",2,0.129167,0.224037
"1-Don-Quijote","16-Pride-Perjudice",2,0.171296,0.286216
"1-Don-Quijote","17-Don-Quijote",2,0.16763,0.204192
"1-Don-Quijote","17-Mare-Balena",2,0.0909091,0.137633
"1-Don-Quijote","17-Pride-Perjudice",2,0.133971,0.197034
"1-Don-Quijote","18-Don-Quijote",2,0.624535,0.635179
"1-Don-Quijote","18-Mare-Balena",2,0.382353,0.602986
"1-Don-Quijote","18-Pride-Perjudice",2,0.174757,0.295062
"1-Don-Quijote","19-Don-Quijote",2,0.23348,0.269114
"1-Don-Quijote","19-Mare-Balena",2,0.22449,0.353478
"1-Don-Quijote","19-Pride-Perjudice",2,0.25614,0.425264
"1-Don-Quijote","2-Don-Quijote",2,0.69395,0.697562
"1-Don-Quijote","2-Mare-Balena",2,0.229927,0.348749
"1-Don-Quijote","2-Pride-Perjudice",2,0.347059,0.644031
"1-Don-Quijote","20-Don-Quijote",2,0.295374,0.298614
"1-Don-Quijote","20-Mare-Balena",2,0.0924855,0.134057
"1-Don-Quijote","20-Pride-Perjudice",2,0.0178571,0.0639462
"1-Don-Quijote","3-Don-Quijote",2,0.119565,0.0910976
"1-Don-Quijote","3-Mare-Balena",2,0.107296,0.152353
"1-Don-Quijote","3-Pride-Perjudice",2,0.158371,0.294838
"1-Don-Quijote","4-Don-Quijote",2,0.25,0.248503
"1-Don-Quijote","4-Mare-Balena",2,0.253205,0.425915
"1-Don-Quijote","4-Pride-Perjudice",2,0.278746,0.468815
"1-Don-Quijote","5-Don-Quijote",2,0.693727,0.687301
"1-Don-Quijote","5-Mare-Balena",2,0.294314,0.521214
"1-Don-Quijote","5-Pride-Perjudice",2,0.0631579,0.0982084
"1-Don-Quijote","6-Don-Quijote",2,0.117216,0.1135
"1-Don-Quijote","6-Mare-Balena",2,0.330097,0.525419
"1-Don-Quijote","6-Pride-Perjudice",2,0.0874317,0.151331
"1-Don-Quijote","7-Don-Quijote",2,0.1,0.120186
"1-Don-Quijote","7-Mare-Balena",2,0.0183486,0.0271347
"1-Don-Quijote","7-Pride-Perjudice",2,0.047619,0.0904922
"1-Don-Quijote","8-Don-Quijote",2,0.396078,0.387982
"1-Don-Quijote","8-Mare-Balena",2,0.201465,0.353799
"1-Don-Quijote","8-Pride-Perjudice",2,0.286713,0.453339
"1-Don-Quijote","9-Don-Quijote",2,0.676806,0.636547
"1-Don-Quijote","9-Mare-Balena",2,0.194946,0.29001
"1-Don-Quijote","9-Pride-Perjudice",2,0.030303,0.0449143
"1-Mare-Balena","1-Pride-Perjudice",2,0.418283,0.651294
"1-Mare-Balena","10-Don-Quijote",2,0.0883534,0.144984
"1-Mare-Balena","10-Mare-Balena",2,0.0722892,0.0710137
"1-Mare-Balena","10-Pride-Perjudice",2,0.138756,0.225947
"1-Mare-Balena","11-Don-Quijote",2,0.0190114,0.0219779
"1-Mare-Balena","11-Mare-Balena",2,0.212121,0.199168
"1-Mare-Balena","11-Pride-Perjudice",2,0.283988,0.497127
"1-Mare-Balena","12-Don-Quijote",2,0.0904762,0.123818
