NumOfDocs
60

Cleaned,Shingles,MinHash
2642,7164,2400
3123,8636,2400
2113,5796,2400
2642,7136,2400
3123,8596,2400
2113,5808,2400
2642,7116,2400
3123,8612,2400
2113,5772,2400
2642,7124,2400
3123,8664,2400
2113,5796,2400
2642,7160,2400
3123,8636,2400
2113,5816,2400
2642,7132,2400
3123,8580,2400
2113,5788,2400
2642,7116,2400
3123,8592,2400
2113,5820,2400
2642,7144,2400
3123,8592,2400
2113,5824,2400
2642,7084,2400
3123,8644,2400
2113,5820,2400
2642,7120,2400
3123,8564,2400
2113,5776,2400
2642,7092,2400
3123,8648,2400
2113,5900,2400
2642,7120,2400
3123,8632,2400
2113,5816,2400
2642,7100,2400
3123,8616,2400
2113,5800,2400
2642,7140,2400
3123,8664,2400
2113,5820,2400
2642,7084,2400
3123,8632,2400
2113,5816,2400
2642,7092,2400
3123,8664,2400
2113,5800,2400
2642,7112,2400
3123,8568,2400
2113,5844,2400
2642,7092,2400
3123,8636,2400
2113,5768,2400
2642,7140,2400
3123,8624,2400
2113,5780,2400
2642,7116,2400
3123,8628,2400
2113,5800,2400

ReadCleanFiles,GenerateShingles,GenerateMinHash,TotalProcessing
1889,38920,995362,1387775

TruePositives,FalsePositives,FalseNegatives,Precision,Recall
528,20,16,0.963504,0.970588
