Documet1,Document2,numHashes,ShinglesJaccard,MinHashJaccard
"1-Don-Quijote","1-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","1-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","10-Don-Quijote",50,1,1
"1-Don-Quijote","10-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","10-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","11-Don-Quijote",50,1,1
"1-Don-Quijote","11-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","11-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","12-Don-Quijote",50,1,1
"1-Don-Quijote","12-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","12-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","13-Don-Quijote",50,1,1
"1-Don-Quijote","13-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","13-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","14-Don-Quijote",50,1,1
"1-Don-Quijote","14-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","14-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","15-Don-Quijote",50,1,1
"1-Don-Quijote","15-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","15-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","16-Don-Quijote",50,1,1
"1-Don-Quijote","16-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","16-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","17-Don-Quijote",50,1,1
"1-Don-Quijote","17-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","17-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","18-Don-Quijote",50,1,1
"1-Don-Quijote","18-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","18-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","19-Don-Quijote",50,1,1
"1-Don-Quijote","19-Mare-Balena",50,0.613514,0.54
"1-Don-Quijote","19-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","2-Don-Quijote",50,1,1
"1-Don-Quijote","2-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","2-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","20-Don-Quijote",50,1,1
"1-Don-Quijote","20-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","20-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","3-Don-Quijote",50,1,1
"1-Don-Quijote","3-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","3-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","4-Don-Quijote",50,1,1
"1-Don-Quijote","4-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","4-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","5-Don-Quijote",50,1,1
"1-Don-Quijote","5-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","5-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","6-Don-Quijote",50,1,1
"1-Don-Quijote","6-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","6-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","7-Don-Quijote",50,1,1
"1-Don-Quijote","7-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","7-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","8-Don-Quijote",50,1,1
"1-Don-Quijote","8-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","8-Pride-Perjudice",50,0.505181,0.4
"1-Don-Quijote","9-Don-Quijote",50,1,1
"1-Don-Quijote","9-Mare-Balena",50,0.61186,0.54
"1-Don-Quijote","9-Pride-Perjudice",50,0.505181,0.4
"1-Mare-Balena","1-Pride-Perjudice",50,0.531017,0.52
"1-Mare-Balena","10-Don-Quijote",50,0.61186,0.54
"1-Mare-Balena","10-Mare-Balena",50,1,1
"1-Mare-Balena","10-Pride-Perjudice",50,0.531017,0.52
"1-Mare-Balena","11-Don-Quijote",50,0.61186,0.54
"1-Mare-Balena","11-Mare-Balena",50,1,1
"1-Mare-Balena","11-Pride-Perjudice",50,0.531017,0.52
"1-Mare-Balena","12-Don-Quijote",50,0.61186,0.54
"1-Mare-Balena","12-Mare-Balena",50,1,1
"1-Mare-Balena","12-Pride-Perjudice",50,0.531017,0.52
"1-Mare-Balena","13-Don-Quijote",50,0.61186,0.54
"1-Mare-Balena","13-Mare-Balena",50,1,1
"1-Mare-Balena","13-Pride-Perjudice",50,0.531017,0.52
"1-Mare-Balena","14-Don-Quijote",50,0.61186,0.54
"1-Mare-Balena","14-Mare-Balena",50,1,1
"1-Mare-Balena","14-Pride-Perjudice",50,0.531017,0.52
